iter	Passed	Remaining
724	13853	5254
725	13877	5237
726	13896	5218
727	13916	5199
728	13936	5180
729	13955	5161
730	13973	5142
731	13992	5123
732	14012	5104
733	14031	5084
734	14049	5065
735	14069	5046
736	14092	5028
737	14115	5011
738	14137	4992
739	14158	4974
740	14179	4956
741	14199	4937
742	14215	4917
743	14229	4896
744	14245	4875
745	14264	4856
746	14284	4838
747	14305	4819
748	14323	4800
749	14342	4780
750	14362	4761
751	14381	4742
752	14401	4723
753	14423	4705
754	14444	4687
755	14466	4669
756	14486	4650
757	14508	4631
758	14529	4613
759	14551	4595
760	14572	4576
761	14593	4558
762	14611	4538
763	14630	4519
764	14648	4499
765	14665	4480
766	14684	4460
767	14701	4441
768	14718	4421
769	14737	4402
770	14755	4382
771	14774	4363
772	14793	4344
773	14811	4324
774	14829	4305
775	14846	4285
776	14864	4266
777	14882	4246
778	14902	4227
779	14922	4208
780	14941	4189
781	14960	4170
782	14978	4151
783	14997	4131
784	15017	4113
785	15038	4094
786	15059	4075
787	15077	4056
788	15096	4037
789	15115	4018
790	15134	3998
791	15154	3979
792	15172	3960
793	15194	3942
794	15215	3923
795	15237	3905
796	15256	3885
797	15273	3866
798	15292	3847
799	15310	3827
800	15327	3808
801	15346	3788
802	15365	3769
803	15384	3750
804	15402	3731
805	15420	3711
806	15438	3692
807	15455	3672
808	15473	3653
809	15492	3634
810	15511	3614
811	15529	3595
812	15548	3576
813	15565	3556
814	15583	3537
815	15603	3518
816	15622	3499
817	15641	3480
818	15660	3461
819	15679	3441
820	15698	3422
821	15717	3403
822	15735	3384
823	15754	3365
824	15773	3345
825	15791	3326
826	15810	3307
827	15829	3288
828	15848	3269
829	15867	3250
830	15887	3231
831	15909	3212
832	15928	3193
833	15949	3174
834	15968	3155
835	15986	3136
836	16007	3117
837	16029	3098
838	16052	3080
839	16068	3060
840	16086	3041
841	16106	3022
842	16128	3003
843	16147	2984
844	16166	2965
845	16186	2946
846	16205	2927
847	16224	2908
848	16245	2889
849	16265	2870
850	16283	2851
851	16303	2832
852	16322	2812
853	16342	2793
854	16362	2774
855	16381	2755
856	16399	2736
857	16419	2717
858	16438	2698
859	16458	2679
860	16477	2660
861	16496	2640
862	16514	2621
863	16531	2602
864	16550	2583
865	16568	2563
866	16587	2544
867	16605	2525
868	16624	2506
